id,auto_number,auto_brand,compensated,too_much
469,E79988152RUS,Ford Focus,1500,0
84,T870X7163RUS,Skoda Octavia,2000,1
238,O02597197RUS,Ford Focus,800,0
553,T912CT197RUS,Toyota Camry,19800,1
310,T914CT197RUS,Toyota Camry,7200,1
363,E822TH36RUS,Ford Focus,12900,1
670,X782CO96RUS,Ford Focus,1000,0
27,E445TC197RUS,Ford Focus,3400,0
710,708487163RUS,Ford Focus,1000,0
127,X015HY197RUS,Toyota Corolla,16000,1
359,X015HY197RUS,Toyota Corolla,24000,1
558,Y359O8197RUS,Ford Focus,2000,0
521,C514X938RUS,Ford Focus,2700,1
625,9763HY161RUS,Ford Focus,900,0
805,Y6839Y50RUS,Ford Focus,1500,0
565,H967HY161RUS,Ford Focus,4500,1
145,8439XX154RUS,Ford Focus,4600,1
655,9468EX178RUS,Ford Focus,4000,0
351,M581CH197RUS,Ford Focus,200,0
316,X523OM161RUS,Ford Focus,400,0
292,90159H178RUS,Volkswagen Passat,600,1
766,7784KT197RUS,Ford Focus,6600,1
578,H980HY161RUS,Ford Focus,1800,1
231,E53677152RUS,Ford Focus,5500,1
344,Y357O8197RUS,Ford Focus,2200,1
740,X018HY197RUS,Toyota Camry,10600,1
374,9594HY161RUS,Ford Focus,300,0
13,707987163RUS,Ford Focus,2200,1
29,9371CE154RUS,Skoda Octavia,500,1
35,C922YE197RUS,Volkswagen Golf,3800,1
541,96429X178RUS,Ford Focus,1300,1
738,7361C8197RUS,Ford Focus,800,0
242,96907X197RUS,BMW,3000,0
276,Y166O8161RUS,Ford Focus,100,0
641,M375CH197RUS,Ford Focus,18100,0
51,Y7719C197RUS,Ford Focus,9200,0
26,M268CH197RUS,Toyota Camry,800,1
795,Y358O8197RUS,Ford Focus,43600,0
340,H908YK197RUS,Ford Focus,4800,0
185,Y6829Y50RUS,Ford Focus,500,0
677,T479KX197RUS,Ford Focus,12000,1
202,8165XX154RUS,Ford Focus,4900,0
377,8685HE154RUS,Ford Focus,2000,0
614,7840C8197RUS,Ford Focus,3500,1
298,9697MO178RUS,Volkswagen Golf,500,0
616,E53677152RUS,Ford Focus,11000,1
522,C589EY154RUS,Ford Focus,4500,0
690,8610T8154RUS,Ford Focus,2000,0
173,9463EX178RUS,Ford Focus,1400,1
201,9679EC178RUS,Ford Focus,500,1
485,O785T9163RUS,Ford Focus,500,0
332,7147OE161RUS,Ford Focus,500,0
107,Y352O8197RUS,Ford Focus,103600,1
568,9463EX178RUS,Ford Focus,1400,0
615,T6249O50RUS,Ford Focus,8500,1
462,9469EX178RUS,Ford Focus,2100,1
474,8201XX154RUS,Ford Focus,2600,1
461,E552MO152RUS,Ford Focus,500,0
122,8166XX154RUS,Ford Focus,2400,0
685,X762HY197RUS,Ford Focus,500,0
587,K2797K154RUS,Ford Focus,2400,1
346,7365C8197RUS,Ford Focus,2300,0
575,8311XX154RUS,Ford Focus,4300,1
312,Y7649C197RUS,Ford Focus,5300,1
300,E0697X152RUS,Skoda Octavia,2000,0
392,X767HY197RUS,Ford Focus,18000,1
70,Y358O8197RUS,Ford Focus,21800,1
515,8601XX154RUS,Skoda Octavia,3900,1
703,92788M178RUS,Ford Focus,1200,0
399,X286TC36RUS,Ford Focus,500,1
807,K889HY161RUS,Ford Mondeo,46200,1
732,M268CH197RUS,Toyota Camry,800,0
361,E53477152RUS,Ford Focus,7200,1
603,Y195O8161RUS,Ford Focus,100,1
505,E552MO152RUS,Ford Focus,500,0
67,H958HY161RUS,Ford Focus,1800,0
159,K376HE161RUS,Ford Focus,100,0
714,Y693HM197RUS,BMW,6500,1
156,Y194O8161RUS,Ford Focus,900,0
499,9467EX178RUS,Ford Focus,3700,1
519,7064C8197RUS,Volkswagen Passat,12800,0
767,9677MO178RUS,Ford Mondeo,2200,0
271,7066C8197RUS,Volkswagen Passat,3000,0
629,K2797K154RUS,Ford Focus,2400,0
389,Y357O8197RUS,Ford Focus,2200,0
425,8441XX154RUS,Ford Focus,500,0
86,T395OT197RUS,Volkswagen Touareg,4800,1
120,M058XE36RUS,Skoda Octavia,8500,1
761,Y187O8161RUS,Ford Focus,400,1
225,C420X938RUS,Ford Focus,3300,0
214,O02397197RUS,Volkswagen Jetta,4000,0
206,K328T8197RUS,Volkswagen Golf,300,0
295,7248C8197RUS,Ford Mondeo,8600,1
422,705387163RUS,Ford Focus,700,1
9,C593EY154RUS,Ford Focus,1000,0
396,T913CT197RUS,Toyota Camry,7900,0
599,T6359O50RUS,Ford Focus,13500,1
781,98047H178RUS,Ford Focus,500,0
770,7784KT197RUS,Ford Focus,6600,1
92,7789KT197RUS,Ford Focus,12600,1
674,96629X178RUS,Ford Focus,7000,0
715,96857X197RUS,Skoda Octavia,37800,0
115,89587X197RUS,Toyota Camry,4400,0
364,8437XX154RUS,Ford Focus,1600,0
375,T6129O50RUS,Ford Focus,6000,1
605,E33477152RUS,Ford Focus,500,0
179,7827C8197RUS,Ford Focus,7500,0
487,O39997197RUS,Ford Focus,9000,0
329,E34877152RUS,Ford Focus,6100,1
713,O64097197RUS,Ford Focus,71200,1
656,M375CH197RUS,Ford Focus,18100,1
748,96679X178RUS,Ford Focus,2400,1
311,O6939X163RUS,Ford Focus,7200,0
